market,status,country_code,state_code,region,city,funding_rounds,funding_total_usd,funded_quarter
Semiconductors,operating,USA,CA,SF Bay Area,Sunnyvale,3,33331814,2010-Q3
Healthcare Services,operating,USA,PA,Philadelphia,Plymouth Meeting,4,53744444,2013-Q4
Biotechnology,operating,USA,MI,Detroit,Ann Arbor,1,1200000,2014-Q2
Consulting,acquired,USA,CA,Los Angeles,El Segundo,1,4000000,2014-Q3
Finance,operating,USA,CA,SF Bay Area,San Ramon,4,34072000,2010-Q4
Enterprise Software,operating,USA,CA,Los Angeles,Santa Monica,2,32000000,2014-Q1
Software,operating,USA,CO,Denver,Denver,1,3315000,2011-Q3
Health and Wellness,operating,USA,KS,Kansas City,Olathe,1,760000,2012-Q1
Medical,operating,USA,NY,Buffalo,Buffalo,1,0,2011-Q3
Medical,operating,USA,AR,Little Rock,Little Rock,1,0,2013-Q3
Internet Radio Market,operating,USA,IL,Chicago,Chicago,1,2500000,2012-Q1
Real Estate,operating,USA,NC,Charlotte,Charlotte,3,67000000,2011-Q1
Software,operating,USA,CO,Denver,Westminster,2,4277507,2014-Q2
Hardware + Software,operating,USA,MI,Detroit,Ann Arbor,1,200000,2014-Q3
Hardware + Software,operating,USA,NY,Long Island,Huntington Station,2,30500000,2013-Q3
Medical,operating,USA,PA,Pittsburgh,Pittsburgh,3,1245092,2014-Q4
Advertising,operating,USA,CA,Los Angeles,El Segundo,5,18700000,2014-Q2
Public Relations,operating,USA,MD,"Washington, D.C.",Gaithersburg,1,5000000,2014-Q2
Technical Continuing Education,operating,USA,TX,Austin,Austin,1,0,2014-Q1
Health and Wellness,operating,USA,MD,Baltimore,Columbia,1,8700000,2013-Q2
Security,closed,USA,CA,SF Bay Area,San Francisco,1,2090000,2012-Q4
Health Care,operating,USA,MO,St. Louis,St Louis,1,600000,2013-Q2
Semiconductors,closed,CAN,QC,Montreal,MontrŽal,1,4880000,2014-Q2
Software,operating,USA,CA,SF Bay Area,Mountain View,1,3638201,2010-Q2
Biotechnology,operating,USA,MA,Boston,Boston,6,151250000,2010-Q3
Health Care,operating,USA,CA,SF Bay Area,South San Francisco,3,100905707,2010-Q2
Finance,operating,USA,IN,Louisville,Evansville,1,5000000,2010-Q2
Biotechnology,operating,USA,NC,Raleigh,Chapel Hill,1,3170442,2014-Q2
P2P Money Transfer,operating,USA,TX,Austin,Austin,1,12500000,2014-Q1
Software,operating,USA,PA,Philadelphia,Conshohocken,1,150000,2011-Q4
Enterprise Software,operating,USA,GA,Atlanta,Atlanta,3,3600000,2010-Q4
Incentives,operating,USA,CA,SF Bay Area,San Francisco,4,49122326,2014-Q4
Enterprise Software,operating,USA,CA,SF Bay Area,San Ramon,1,24000000,2010-Q4
Semiconductors,operating,USA,CA,SF Bay Area,Santa Clara,5,135776263,2011-Q1
Gamification,operating,USA,MA,Boston,Boston,1,1250000,2014-Q3
Software,operating,USA,CA,Los Angeles,Santa Monica,1,0,2013-Q1
Internet of Things,operating,USA,CA,SF Bay Area,Los Gatos,1,1400000,2014-Q3
Biotechnology,operating,USA,PA,Philadelphia,Malvern,2,42000000,2013-Q4
Consulting,operating,USA,FL,Miami,Miami,1,8000000,2011-Q1
Telecommunications,acquired,USA,MA,Boston,Bedford,1,22247779,2011-Q2
Android,acquired,USA,CA,SF Bay Area,San Francisco,1,7300000,2010-Q3
Analytics,operating,USA,CA,CA - Other,Lucerne Valley,1,20000,2014-Q4
Apps,operating,USA,CA,Anaheim,Newport Beach,3,8960000,2011-Q4
Software,acquired,USA,TX,Austin,Austin,1,7974296,2014-Q4
Clean Technology,operating,USA,TX,Houston,Houston,4,15000000,2010-Q1
Curated Web,acquired,USA,NY,New York City,New York,1,40000,2011-Q3
Enterprise Software,operating,USA,MA,Boston,Burlington,7,118500000,2014-Q1
Advertising Platforms,operating,CAN,QC,Brossard,Brossard,3,12100000,2010-Q1
Semantic Search,operating,USA,NY,New York City,New York,1,0,2011-Q2
Biotechnology,operating,USA,NJ,Newark,Red Bank,2,3162000,2014-Q3
Enterprise Software,operating,USA,NJ,NJ - Other,Marlton,1,6000000,2013-Q4
Internet,operating,USA,CA,SF Bay Area,Fremont,6,57616859,2014-Q4
Software,operating,USA,CA,SF Bay Area,Belmont,1,15600000,2012-Q3
Manufacturing,operating,USA,UT,UT - Other,Alpine,1,0,2012-Q1
Consulting,operating,USA,MN,Minneapolis,Plymouth,1,137500,2013-Q1
Enterprise Software,operating,USA,MA,Boston,Waltham,5,207500000,2012-Q4
Biotechnology,operating,USA,NY,New York City,New York,2,7000720,2013-Q2
Finance,operating,USA,CA,CA - Other,Ceres,1,0,2012-Q3
Mobile,acquired,USA,WA,Seattle,Bellevue,5,58200000,2013-Q4
Collectibles,operating,USA,MO,St. Louis,St Louis,2,100000,2014-Q4
Business Intelligence,operating,USA,NY,New York City,New York,1,0,2013-Q4
Mobile,operating,USA,NY,New York City,New York,2,6000000,2011-Q1
Health Care,operating,USA,IN,Indianapolis,Indianapolis,2,950000,2013-Q4
Health Care,operating,USA,MA,Boston,Newton,3,16000000,2014-Q1
Consulting,operating,USA,FL,Tampa,Clearwater,1,0,2013-Q3
Enterprise Software,operating,USA,MA,Boston,Waltham,5,22500000,2011-Q1
Biotechnology,operating,USA,TN,Memphis,Memphis,11,99717506,2012-Q4
Advertising,operating,USA,NY,New York City,Pearl River,1,35000000,2011-Q3
E-Commerce,operating,USA,CO,Denver,Denver,1,1300000,2014-Q4
Biotechnology,operating,USA,CA,Santa Barbara,Santa Barbara,3,925000,2014-Q2
Software,operating,USA,CA,SF Bay Area,San Francisco,1,7823112,2014-Q2
Software,acquired,USA,TX,Dallas,Dallas,10,214208700,2014-Q1
Enterprise Software,closed,USA,CA,Los Angeles,Torrance,4,16400000,2014-Q3
Consulting,operating,USA,OR,"Salem, Oregon",Mcminnville,1,5000,2013-Q4
Financial Services,operating,USA,CA,SF Bay Area,Palo Alto,1,4099999,2010-Q3
Education,operating,USA,WA,Seattle,Seattle,1,899955,2014-Q3
Health and Wellness,operating,USA,NV,NV - Other,Incline Village,1,600000,2010-Q4
Finance,operating,USA,NY,New York City,New York,2,13250001,2013-Q2
Real Estate,operating,USA,WA,Seattle,Seattle,1,2750000,2011-Q3
Sports,operating,USA,CA,Los Angeles,Los Angeles,1,2100000,2012-Q2
Mobile Security,operating,USA,OR,"Portland, Oregon",Portland,2,680000,2011-Q1
Enterprise Software,acquired,USA,CA,SF Bay Area,Fremont,1,5422959,2011-Q3
Internet,operating,USA,MD,"Washington, D.C.",Bethesda,2,185000,2014-Q2
Education,operating,USA,CA,SF Bay Area,San Jose,2,2200000,2013-Q2
Biotechnology,acquired,USA,MA,Boston,Marlborough,4,36700005,2011-Q4
Health Care,operating,USA,CT,Hartford,East Hartford,2,550000,2013-Q4
Hardware + Software,operating,USA,PA,PA - Other,Bellefonte,1,150000,2012-Q4
Software,operating,USA,CA,San Diego,Carlsbad,1,242500,2011-Q2
Telecommunications,operating,USA,CA,Los Angeles,Beverly Hills,4,11879704,2013-Q2
Biotechnology,operating,USA,WA,Seattle,Seattle,2,2670394,2011-Q3
Biotechnology,operating,USA,WA,Seattle,Seattle,1,439603,2010-Q4
Health Care,operating,USA,CA,Anaheim,Irvine,2,86000000,2013-Q3
Health Care,operating,USA,MN,Minneapolis,Minneapolis,1,1500321,2014-Q1
Ad Targeting,operating,USA,NY,New York City,New York,1,3000000,2013-Q2
Development Platforms,operating,USA,WA,Seattle,Kirkland,4,23300000,2010-Q3
Video,operating,USA,CA,SF Bay Area,San Francisco,1,0,2010-Q1
E-Commerce,operating,USA,AR,Fayetteville,Fayetteville,3,93000000,2014-Q1
Biotechnology,operating,USA,CA,SF Bay Area,Livermore,2,2200000,2014-Q3
Public Relations,operating,USA,CA,SF Bay Area,Foster City,1,0,2013-Q4
Biotechnology,operating,USA,IL,Chicago,Palatine,2,10300000,2011-Q2
Biotechnology,operating,USA,MA,Boston,Lexington,2,10000000,2012-Q2
Mass Customization,operating,USA,NY,New York City,New York,1,0,2010-Q4
Biotechnology,operating,USA,CA,San Diego,San Diego,5,63176464,2010-Q4
Biotechnology,operating,USA,WA,Seattle,Seattle,2,6400000,2010-Q3
Mobile,operating,USA,CA,Los Angeles,Los Angeles,2,2000000,2011-Q1
Social Media Advertising,closed,USA,TX,Houston,Houston,1,50000,2011-Q1
Advertising,operating,USA,NY,New York City,New York,2,4549999,2011-Q1
Software,operating,USA,TX,Dallas,Dallas,2,175000,2014-Q1
Health Care,operating,USA,CA,Los Angeles,Laguna Hills,2,6637111,2011-Q2
Security,operating,USA,CA,SF Bay Area,Menlo Park,2,19500000,2010-Q4
Nanotechnology,operating,USA,HI,Honolulu,Honolulu,4,7131660,2014-Q3
Health Care,operating,USA,CA,SF Bay Area,Emeryville,4,82000000,2014-Q2
Biotechnology,operating,USA,CA,San Diego,San Diego,5,16377078,2013-Q1
Manufacturing,operating,USA,FL,Tampa,Palm Harbor,1,2700000,2013-Q3
Software,operating,USA,AR,Fayetteville,Fayetteville,1,0,2013-Q3
Television,acquired,USA,CA,SF Bay Area,San Mateo,5,48500000,2011-Q3
Health Care,operating,USA,CO,Colorado Springs,Colorado Springs,2,225000,2014-Q4
Mobile,operating,USA,MA,Boston,Lexington,3,5954000,2014-Q1
Internet Marketing,operating,USA,CA,SF Bay Area,San Francisco,1,0,2013-Q4
Bio-Pharm,operating,USA,WA,Seattle,Seattle,3,112499480,2014-Q1
Cloud Management,operating,USA,UT,Salt Lake City,Provo,3,22999999,2010-Q4
Semiconductors,operating,USA,CA,SF Bay Area,San Jose,1,4000000,2013-Q4
Biotechnology,operating,USA,WA,Seattle,Seattle,1,1099000,2014-Q2
Semantic Web,operating,USA,NY,New York City,New York,4,24020000,2010-Q1
Public Relations,acquired,USA,TX,Dallas,Carrollton,2,6500000,2013-Q3
Collaboration,operating,USA,WA,Seattle,Seattle,6,30000000,2014-Q1
Advertising,operating,USA,CA,SF Bay Area,Mountain View,4,44115160,2010-Q2
Biotechnology,operating,USA,VA,"Washington, D.C.",Chantilly,1,0,2014-Q3
Big Data,operating,USA,CA,SF Bay Area,Sunnyvale,1,13000000,2011-Q1
Finance,operating,USA,IN,Indianapolis,Indianapolis,1,20000000,2013-Q1
Publishing,acquired,USA,CA,SF Bay Area,San Francisco,4,40400000,2011-Q1
Advertising,operating,USA,NY,New York City,New York,2,6500000,2012-Q1
Health Care,operating,USA,GA,Atlanta,Roswell,6,34358700,2010-Q4
Location Based Services,acquired,CAN,ON,Toronto,Toronto,1,2940000,2012-Q4
Advertising,acquired,USA,CA,SF Bay Area,Foster City,7,119191000,2012-Q3
Industrial,acquired,USA,MA,Boston,Marlborough,1,0,2010-Q4
